,이름,년도,팀,war,경기수,완봉,완투,선발,승,패,세이브,홀드,inning,실점,ERA,FIP,WHIP,ERA_plus,FIP_plus,자책,볼넷,홈런,삼진,연봉
111,카도쿠라,10,S,4.33,30.0,0.0,0.0,27.0,14.0,7.0,0.0,0.0,153.2,65.0,3.22,3.7,1.29,141.2,122.8,55.0,52.0,14.0,143.0,0.0
112,스튜어트,15,N,4.32,19.0,0.0,0.0,19.0,8.0,2.0,0.0,0.0,117.2,37.0,2.68,3.35,1.21,179.0,145.5,35.0,26.0,7.0,109.0,50000.0
113,송진우,4,한,4.31,28.0,1.0,0.0,26.0,11.0,8.0,1.0,0.0,172.0,73.0,3.61,4.09,1.2,122.1,107.7,69.0,44.0,19.0,100.0,30000.0
114,해커,14,N,4.31,30.0,1.0,0.0,29.0,8.0,8.0,0.0,0.0,172.2,86.0,4.07,4.93,1.34,128.0,107.0,78.0,62.0,14.0,112.0,30000.0
115,윤성환,13,삼,4.28,27.0,1.0,1.0,27.0,13.0,8.0,0.0,0.0,170.2,69.0,3.27,3.86,1.2,131.0,111.0,62.0,37.0,16.0,122.0,30000.0
116,송진우,3,한,4.26,42.0,1.0,0.0,14.0,9.0,7.0,7.0,2.0,129.2,48.0,3.12,3.27,1.17,139.0,132.8,45.0,40.0,9.0,93.0,30000.0
117,요키시,19,키,4.25,30.0,1.0,1.0,30.0,13.0,9.0,0.0,0.0,181.1,72.0,3.13,3.32,1.13,132.4,124.5,63.0,39.0,9.0,141.0,0.0
118,피어리,4,현,4.24,28.0,0.0,0.0,28.0,16.0,6.0,0.0,0.0,181.2,73.0,3.32,4.39,1.25,130.5,98.6,67.0,61.0,24.0,130.0,0.0
119,피가로,15,삼,4.24,25.0,1.0,0.0,25.0,13.0,7.0,0.0,0.0,165.0,66.0,3.38,4.51,1.24,146.0,108.9,62.0,51.0,16.0,117.0,900000.0
120,서폴드,19,한,4.24,31.0,0.0,0.0,31.0,12.0,11.0,0.0,0.0,192.1,84.0,3.51,3.49,1.27,118.0,119.3,75.0,54.0,8.0,135.0,0.0
121,소사,15,L,4.23,32.0,2.0,1.0,30.0,10.0,12.0,0.0,1.0,194.1,102.0,4.03,3.5,1.21,116.5,134.0,87.0,36.0,16.0,177.0,50000.0
122,소사,17,L,4.22,30.0,2.0,1.0,29.0,11.0,11.0,1.0,0.0,185.1,86.0,3.88,3.52,1.23,124.6,138.3,80.0,38.0,11.0,153.0,50000.0
123,차우찬,17,L,4.21,28.0,0.0,0.0,28.0,10.0,7.0,0.0,0.0,175.2,75.0,3.43,4.2,1.19,141.0,114.3,67.0,38.0,20.0,157.0,100000.0
